ID,TARGET,Rank
1054,0.0283133812568542,807.0
2049,-0.112516364811792,532.0
1924,-0.1808399597862505,427.0
1101,-0.0717326120736016,593.0
1520,0.9321054345960168,1351.0
1546,0.192679748277726,1057.0
1069,0.1128497066002542,968.0
1323,0.0761526694910631,906.0
1618,0.0,751.5
1507,-0.3901905275265491,260.0
1821,0.4526840668968859,1247.0
1263,-0.0604804518909624,617.0
1897,0.1270912775730413,987.0
1199,-0.6376581019685787,165.0
1482,-0.403435988212012,249.0
1104,0.132475854998083,993.0
2004,0.08471842580791,917.0
2129,1.3276861889524334,1388.0
1866,0.374852692864025,1206.0
1059,-0.1648538039995488,451.0
1409,0.1804847094173591,1045.0
1834,0.2281690654662493,1093.0
1499,-1.9054666305771424,30.0
1802,-0.0926734195428975,555.0
2094,-0.0734711219803671,588.0
1813,-0.1403378403443132,485.0
1106,-0.1237394347270676,508.0
1119,-0.4029678607799104,250.0
2013,0.2107364193985207,1081.0
2076,-0.0222167091585713,693.0
1113,-0.4284227752350109,233.0
1560,-0.5324707466784975,197.0
1432,-0.005460114874465,734.0
1493,0.3728223940975403,1203.0
1052,-0.3371792169429849,293.0
1742,0.2230884656744257,1091.0
2107,-2.338778624386492,20.0
1811,4.685478863137233,1483.0
2089,-0.3496920645216719,283.0
1971,0.1025968387420318,941.0
1527,0.1067342621415888,955.0
1870,0.0645302735789065,885.0
1536,0.0327688080718091,826.0
1955,1.2423652236583005,1382.0
2118,-0.3057616664921221,319.0
1305,0.1449553999668431,1008.0
1988,-1.0475823970827285,84.0
1767,-0.2538068097132726,347.0
2021,-0.0083506929579636,726.0
1940,-0.054894078947476,625.0
2141,0.1170205582042599,973.0
2010,0.0666962436000367,891.0
1394,-0.5338081562961453,196.0
1124,0.3384236825242618,1175.0
1569,0.0,751.5
1117,0.1301573052471306,992.0
1431,0.0373021013058413,835.0
1606,-0.1772672886718277,433.0
1271,-0.0243385150879257,690.0
1312,2.8050508890116514,1458.0
1344,-0.2217154296102933,372.0
1552,0.0720295636333234,900.0
1953,-0.146248815678106,472.0
1220,-1.4924723802473494,54.0
1854,0.2354754946917156,1097.0
1605,-1.5184107106189606,52.0
1547,0.0903941976982084,920.0
1277,1.364115316914675,1391.0
1282,1.862087994608972,1432.0
1893,-0.0452244439838247,644.0
1322,0.4897880274081974,1258.0
1878,0.357202456021273,1190.0
1329,-0.4093151918225764,245.0
1231,0.2073428058716233,1078.0
1242,0.1928400122877894,1058.0
1237,-0.5233700503351497,205.0
1468,-3.8293957812592456,4.0
1651,-0.3526537437423799,281.0
1614,-0.0075143083579951,727.0
1751,-0.9601400148241308,95.0
1844,0.3255084319479988,1159.0
1852,0.5955434061534272,1292.0
1338,-0.3646806602270167,274.0
1595,-1.1429642477581656,75.0
1999,0.0159680586626053,786.0
1178,-0.0805522153789447,578.0
1470,0.2641893867158347,1119.0
1910,-6.519268274888724,1.0
2072,2.729441038503437,1455.0
1424,-0.1632979450520062,456.0
1968,-0.0271536271295958,682.0
1241,-0.0639564037701992,606.0
1145,0.0025500442339317,761.0
1944,-1.983548693705634,28.0
1529,-0.3009337036394165,323.0
1786,0.3394411212352471,1177.0
1947,-0.1918443788378256,411.0
1265,-0.138391258160511,486.0
1040,-0.2606350203323089,342.0
2005,-0.0210814548620828,699.0
1214,0.1472833113865545,1011.0
1436,-0.0429814446080716,649.0
1310,-0.0893135450110355,563.0
1172,-0.0035470386711197,743.0
1365,0.2612507812562612,1117.0
1382,-0.0259632688699451,683.0
1067,-0.5048729952390942,212.0
1639,-0.1210408095457346,515.0
1474,3.9577802731540017,1475.0
1611,-0.1027507081867446,541.0
2080,0.1463615324016502,1010.0
1399,0.194651127745539,1061.0
1900,0.1532741971210899,1018.0
1144,-0.1940850841894005,406.0
2122,-3.3020496114995623,8.0
1898,-0.1731629629533675,439.0
1762,0.0470950055727762,849.0
1102,0.4630124248165893,1251.0
1417,0.0448041051846226,846.0
1858,0.1479733625489473,1013.0
1628,0.1046613584462951,950.0
1302,-1.1396409210514795,76.0
1481,-0.293317452243704,327.0
1475,-2.667797653904165,14.0
1996,0.0609761652265087,880.0
2063,-0.2073606427299564,385.0
2003,-0.0017738300965863,746.0
1575,0.0456792813955301,847.0
1607,0.0514086594396653,861.0
2134,0.123036295744615,981.0
1331,-0.3294257885139227,295.0
1485,3.046264356237203,1464.0
1261,0.1189457204949686,976.0
1159,-0.1422216095892884,481.0
1301,-0.0679281643630947,600.0
2038,0.1068721874008578,956.0
1354,-0.4184526200505143,237.0
1244,-0.3823072526814279,267.0
1224,-3.583935504111203,5.0
1518,0.753098053861377,1324.0
1317,-0.0329248866370114,662.0
1077,-0.864280008415964,112.0
1221,-0.1739793037939351,437.0
1886,2.5601781033200943,1450.0
1093,-0.6221615548860023,171.0
1930,0.0,751.5
1623,0.333855987100172,1171.0
1850,-0.049730149283115,635.0
1571,0.0309873094011135,817.0
1256,-0.4004737861935181,251.0
1200,4.5283094761371245,1480.0
1553,-0.0796110581202986,579.0
1149,-1.1029841039598929,81.0
1403,0.2050918323728075,1071.0
2061,-0.0719352544813041,592.0
1343,-0.2486109073622212,355.0
1414,0.4484550609081467,1244.0
2140,-0.0924824437979144,556.0
1422,0.3121182686419222,1150.0
1825,0.4182394722918979,1227.0
2087,-2.540508412526976,16.0
1787,-0.2550515563855992,346.0
1299,-0.8142178490997324,121.0
1631,0.2909479799238584,1136.0
1380,-0.0406258778380672,652.0
1869,-0.0476114610511936,639.0
1887,0.3282297190073702,1165.0
2016,0.068904639361785,895.0
1782,0.0682667592697676,892.0
1816,-0.8601170868630765,113.0
1846,-1.1553102833660405,74.0
1752,-0.3403188367487685,289.0
1635,1.5836947652933793,1416.0
1211,-0.0894820969145447,561.0
1177,-0.1113304287796622,534.0
1089,0.0536906974841221,868.0
1195,-1.7962592893734093,38.0
1108,0.1228495869132358,980.0
2130,-0.4271966628870656,234.0
1148,-0.0670764115539193,602.0
1855,-0.0662660381849242,604.0
1907,0.5755788651201659,1284.0
1519,-0.6174896344258587,172.0
1815,-0.1234392564070569,509.0
1491,-0.1895778619333491,413.0
1400,5.015579833097478,1485.0
2041,-0.1665420579317973,447.0
1197,-0.3996656085977338,253.0
1295,0.3328110440851204,1169.0
1028,0.2907484802927597,1135.0
1478,1.3873784182996325,1394.0
2042,1.2315899415967435,1381.0
2143,0.6878078147231429,1314.0
2077,2.7180013018253555,1454.0
1099,-0.0308682172167516,669.0
2144,-0.0839825331645012,571.0
1514,1.0825681682485335,1373.0
1362,0.8318972923402559,1339.0
2108,-0.3409676117610142,288.0
1795,-0.0600106481172972,618.0
1509,4.632928463994622,1482.0
1537,-0.0100451950631922,721.0
2104,-0.3827292345164419,266.0
1773,-0.0766410304237349,585.0
1408,-1.1258857643698186,78.0
1452,-1.2393589134288905,68.0
1314,-0.0036193867608358,741.0
1147,0.025800763437498,803.0
1535,0.2568284878735128,1116.0
1421,-0.1845528364034102,424.0
1463,0.6025434540476294,1297.0
1430,-0.2863747383734581,328.0
1152,0.3223397101326437,1157.0
1187,-0.3160181414171926,313.0
